Dc ;Di ;H0 ;ds ;?s ;?p;?;Ums 
0.064;0.005;0.045;0.002;1200;1.205;180;0.3
0.064;0.005;0.085;0.002;1200;1.205;180;0.52
0.064;0.005;0.125;0.002;1200;1.205;180;0.68
0.064;0.005;0.165;0.002;1200;1.205;180;0.82
0.064;0.005;0.1;0.0013;1200;1.205;180;0.448
0.064;0.005;0.1;0.0015;1200;1.205;180;0.489
0.064;0.005;0.1;0.0017;1200;1.205;180;0.532
0.064;0.005;0.1;0.002;1200;1.205;180;0.58
0.079;0.005;0.1;0.0016;1200;1.205;180;0.391
0.064;0.008;0.1;0.0016;1200;1.205;180;0.588
0.097;0.008;0.1;0.0016;1200;1.205;180;0.339
0.079;0.011;0.1;0.0016;1200;1.205;180;0.511
0.15;0.01;0.15;0.0035;1370;1.205;180;0.56
0.3;0.05;0.3;0.0035;1370;1.205;60;0.5
0.6;0.1;0.6;0.0035;1370;1.205;180;0.43
0.9;0.15;0.9;0.0035;1370;1.205;180;0.53
0.14;0.04;0.14;0.0025;1370;1.205;60;0.75
1.07;0.21;1.07;0.0025;1370;1.205;60;0.49
0.3;0.05;0.3;0.0065;1140;1.205;180;1
0.14;0.02;0.1;0.002;2680;1.205;45;0.656
0.14;0.02;0.2;0.002;2680;1.205;45;1.011
0.14;0.02;0.3;0.002;2680;1.205;45;1.531
0.14;0.02;0.15;0.003;2680;1.205;45;1.08
0.14;0.02;0.25;0.003;2680;1.205;45;1.463
0.14;0.02;0.1;0.004;2680;1.205;45;1.08
0.14;0.02;0.2;0.004;2680;1.205;45;1.559
0.14;0.02;0.3;0.004;2680;1.205;45;2.229
0.14;0.02;0.15;0.005;2680;1.205;45;1.463
0.14;0.02;0.25;0.005;2680;1.205;45;2.023
0.14;0.0025;0.05;0.002;2680;1.205;45;0.134
0.14;0.0075;0.05;0.002;2680;1.205;45;0.273
0.14;0.02;0.05;0.002;2680;1.205;45;0.472
0.14;0.005;0.05;0.004;2680;1.205;45;0.265
0.14;0.01;0.05;0.004;2680;1.205;45;0.486
0.14;0.0025;0.05;0.007;2680;1.205;45;0.272
0.14;0.0075;0.05;0.007;2680;1.205;45;0.509
0.14;0.02;0.05;0.007;2680;1.205;45;0.936
0.24;0.0308;0.29;0.0027;1385;1.04;60;0.7407
0.24;0.0308;0.29;0.0027;1385;1.06;60;0.6677
0.24;0.0308;0.29;0.0027;1385;1.04;60;0.721
0.24;0.0308;0.29;0.0027;1385;1.04;60;0.69
0.24;0.0282;0.29;0.0027;1385;1.03;60;0.715
0.24;0.0212;0.29;0.0027;1385;1.04;60;0.626
0.24;0.0308;0.34;0.0027;1385;1.06;60;0.759
0.24;0.0308;0.37;0.0027;1385;1.04;60;0.808
0.24;0.0308;0.34;0.0023;1045;1.05;60;0.642
0.24;0.0308;0.29;0.0028;927;1.05;60;0.621
0.45;0.0308;0.25;0.0027;1385;1.05;60;0.199
0.45;0.0308;0.29;0.0027;1385;1.05;60;0.201
0.45;0.0308;0.29;0.0027;1385;1.05;60;0.199
0.45;0.0308;0.29;0.0027;1385;1.05;60;0.208
0.45;0.0247;0.29;0.0027;1385;1.05;60;0.195
0.45;0.0308;0.29;0.0027;1385;1.19;60;0.205
0.91;0.0762;1.22;0.00345;1020;1.205;180;0.43
0.91;0.0921;0.61;0.00345;1020;1.205;180;0.22
0.91;0.0921;1.22;0.00345;1020;1.205;180;0.5
0.91;0.0921;1.83;0.00345;1020;1.205;180;0.62
0.91;0.1016;1.37;0.00345;1020;1.205;180;0.55
0.91;0.1143;0.71;0.00345;1020;1.205;180;0.35
0.91;0.1143;1.22;0.00345;1020;1.205;180;0.46
0.91;0.0921;0.91;0.0047;1284;1.205;180;0.52
0.91;0.0921;0.61;0.0067;1247;1.205;180;0.64
0.1524;0.0254;0.303;0.00273;2839;1.18;180;1.4
0.1524;0.01905;0.329;0.00273;2839;1.18;180;1.42
0.1524;0.0254;0.21;0.00486;2857;1.18;180;2.38
0.1524;0.0381;0.186;0.00486;2857;1.18;180;2.36
0.152;0.019;0.457;0.00145;1740;1.205;60;0.53
0.152;0.019;0.396;0.0011;2960;1.205;60;0.58
0.152;0.019;0.396;0.00293;1180;1.205;60;1.47
0.152;0.019;0.457;0.00215;1180;1.205;60;0.58
0.152;0.019;0.457;0.00215;1050;1.205;60;0.46
0.152;0.019;0.457;0.00293;1050;1.205;180;0.67
0.152;0.019;0.457;0.00293;1050;1.205;60;0.62
0.152;0.019;0.305;0.00293;1050;1.205;60;0.59
0.152;0.019;0.305;0.00293;1050;1.205;60;0.59
0.152;0.0254;0.457;0.00293;1050;1.205;60;0.6
0.292;0.038;0.905;0.00293;1050;1.205;60;0.6
0.152;0.019;0.457;0.00161;1050;1.205;60;0.38
0.152;0.019;0.457;0.0035;1240;1.205;60;0.81
0.152;0.019;0.305;0.0035;1240;1.205;60;0.76
0.152;0.0254;0.457;0.0035;1240;1.205;60;0.84
0.292;0.038;0.905;0.0035;1240;1.205;60;0.69
